"","country","emissions_tons","population_2022","per_capita_tons","share_percent","change_percent","emissions_per_million"
"1","China",12667428430,1425179569,8.89,32.88,-0.39,8888303.41490813
"2","United States",4853780240,341534046,14.21,12.6,1.78,14211702.4549875
"3","India",2693034100,1425423212,1.89,6.99,6.52,1889287.39010881
"4","Russia",1909039310,145579899,13.11,4.96,-1.22,13113344.1025399
"5","Japan",1082645430,124997578,8.66,2.81,0.65,8661331.26195453
"6","Indonesia",692236110,278830529,2.48,1.8,13.14,2482641.02386005
"7","Iran",686415730,89524246,7.67,1.78,1.27,7667372.36748132
"8","Germany",673595260,84086227,8.01,1.75,-0.84,8010768.04171508
"9","South Korea",635502970,51782512,12.27,1.65,-1.15,12272540.3896976
"10","Saudi Arabia",607907500,32175352,18.89,1.58,2.93,18893577.2948187
"11","Canada",582072950,38821259,14.99,1.51,3.57,14993664.9401298
"12","Mexico",487774010,128613117,3.79,1.27,10.4,3792568.14061975
"13","Turkey",481247520,87058473,5.53,1.25,3.1,5527865.39226343
"14","Brazil",466770410,210306415,2.22,1.21,-7.3,2219477.75582595
"15","South Africa",404974510,62378410,6.49,1.05,-3.34,6492222.3891247
"16","Australia",393162550,26200984,15.01,1.02,1.31,15005640.6278482
"17","United Kingdom",340610260,68179315,5,0.88,0.46,4995800.55915786
"18","Vietnam",327905620,99680655,3.29,0.85,-2.9,3289561.24937181
"19","Italy",322948740,59619115,5.42,0.84,0.68,5416865.71496407
"20","Poland",321954000,38385739,8.39,0.84,-1.61,8387333.63971448
"21","France",315299470,66277409,4.76,0.82,-2.91,4757269.10205557
"22","Thailand",282445820,71735329,3.94,0.73,2.23,3937332.18955475
"23","Malaysia",277531770,34695493,8,0.72,6.5,7999072.67494369
"24","Taiwan",275573980,23420111,11.77,0.72,-4.52,11766553.1132624
"25","Egypt",265961280,112618250,2.36,0.69,6.54,2361617.94380573
"26","Spain",254363430,47828382,5.32,0.66,9.9,5318252.87336711
"27","Kazakhstan",245886290,20034609,12.27,0.64,4.53,12273076.554676
"28","United Arab Emirates",218799350,10242086,21.36,0.57,2.03,21362772.1930864
"29","Pakistan",199329850,243700667,0.82,0.52,-7.74,817929.029303806
"30","Iraq",193836310,44070551,4.4,0.5,7.73,4398318.27834419
"31","Argentina",184037200,45407904,4.05,0.48,1.43,4052977.20854942
